# Functional labels for the de novo type II TA arm.
#
# outcome: rescue | no_rescue | UNKNOWN
#   rescue    - antitoxin restored growth against this toxin (functional positive)
#   no_rescue - antitoxin was tested and did NOT restore growth (functional negative)
#   UNKNOWN   - not established from a source I could read. Rows marked UNKNOWN are
#               SKIPPED by build_denovo_set.py; they are never assumed either way,
#               because a wrong label here silently corrupts the calibration.
#
# Every non-UNKNOWN row must cite where the label came from in `source`.
toxin,antitoxin,outcome,source
EvoRele1,EvoAT1,rescue,paper_main_text
EvoRele1,EvoAT2,rescue,paper_main_text
EvoRele1,EvoAT3,rescue,paper_main_text
EvoRele1,EvoAT4,rescue,paper_main_text
RelE,EvoAT2,rescue,paper_main_text
MazF,EvoAT2,rescue,paper_main_text
YoeB,EvoAT2,rescue,paper_main_text
RelE,EvoAT4,rescue,paper_main_text
YoeB,EvoAT4,rescue,paper_main_text
MazF,EvoAT4,no_rescue,paper_main_text
RelE,EvoAT1,UNKNOWN,not_resolved
MazF,EvoAT1,UNKNOWN,not_resolved
YoeB,EvoAT1,UNKNOWN,not_resolved
RelE,EvoAT3,UNKNOWN,not_resolved
MazF,EvoAT3,UNKNOWN,not_resolved
YoeB,EvoAT3,UNKNOWN,not_resolved
